07:58:04.314 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.322 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.322 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.330 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.330 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.339 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.339 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.347 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.347 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.356 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.356 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
07:58:04.364 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'c6xuJ1QkD0pyK8eC', eventIsSpan: true, departureX: 5339999389, departureY: 7114871389000, arrivalY: 2421505307000, …}
07:58:04.364 establish-history-physics.js:86 [INSERT-SPAN] 6-PHYSICS (offset walk) {id: 'FVin4kB66j420icT', eventIsSpan: true, departureX: 7344520020, departureY: 4426025938000, arrivalY: 2182825428000, …}
